_FAMILY,AUTHOR,BASE,CONTROLLER_FILE_PATH,DESTINATION_MODUL,DETAIL,DICTIONARY_ID,FILE_NAME,FILE_PATH,FOLDER,FRIENDLY_URL,FULL_FUSEACTION,FUSEACTION,FUSEACTION2,HEAD,IS_ACTIVE,IS_ADD,IS_DELETE,IS_MENU,IS_SPECIAL,IS_TEMP,IS_UPDATE,IS_WBO_DENIED,IS_WBO_FORM_LOCK,IS_WBO_LOCK,IS_WBO_LOG,LEFT_MENU_NAME,MODUL,MODUL_SHORT_NAME,MODULE_NO,OBJECTS_COUNT,POPUP_TYPE,RECORD_DATE,RECORD_EMP,RECORD_IP,RELATED_FUSEACTION,RELATED_MODUL_SHORT_NAME,SECURITY,STAGE,STATUS,TYPE,UPDATE_DATE,UPDATE_EMP,UPDATE_IP,VERSION,WINDOW
NULL,1,NULL,NULL,NULL,NULL,52709,'js/calendar-tr.cfm','js/calendar-tr.cfm',NULL,NULL,'home.emptypopup_special_functions','emptypopup_calender_functions',NULL,'FuseActions',1,1,0,0,0,NULL,0,NULL,0,NULL,0,NULL,'40','myhome',40,14,NULL,'2015-09-29 14:31:38.0',4821,'127.0.0.1',NULL,NULL,'HTTP',NULL,NULL,1,'2015-10-09 10:55:16.697',96,'127.0.0.1',NULL,'emptypopup'
NULL,1,NULL,NULL,NULL,NULL,52709,'js/special_functions.cfm','js/special_functions.cfm',NULL,NULL,'home.emptypopup_special_functions','emptypopup_special_functions',NULL,'FuseActions',1,1,0,0,0,NULL,0,NULL,0,NULL,0,NULL,'40','myhome',40,14,NULL,'2015-09-29 14:31:38.0',4821,'127.0.0.1',NULL,NULL,'HTTP',NULL,NULL,1,'2015-10-09 10:55:16.697',96,'127.0.0.1',NULL,'emptypopup'
NULL,1,NULL,NULL,NULL,NULL,52709,'form/user_modul_permission.cfm','settings/form/user_modul_permission.cfm',NULL,NULL,'settings.popup_modul_permission','popup_modul_permission',NULL,'Sayfa Yetkileri',1,1,0,0,0,NULL,0,NULL,0,NULL,0,NULL,'40','settings',40,14,'page','2015-09-29 14:31:38.0',4821,'127.0.0.1',NULL,NULL,'HTTP',NULL,NULL,1,'2015-10-09 10:55:16.697',96,'127.0.0.1',NULL,'popup'
'Abonelik',1,'SUBO',NULL,NULL,NULL,47123,'list_hobim_file.cfm','invoice/display/list_hobim_file.cfm','display','SubscriptionHobim','invoice.list_hobim_file','list_hobim_file',NULL,'Hobim Dosyaları',1,0,0,1,0,0,0,NULL,NULL,NULL,0,NULL,'Abone Yönetimi','invoice',79,494,NULL,'2012-12-22 14:47:39.0',12,'192.168.18.13',NULL,NULL,'HTTP',52,'Development',4,NULL,NULL,NULL,'v 12','normal'
'Abonelik',1,'SUBO',NULL,NULL,NULL,47103,'list_sale_multi.cfm','invoice/display/list_sale_multi.cfm','display','SubscriptionInvoice','invoice.list_sale_multi','list_sale_multi',NULL,'Faturalama İşlemleri',1,0,0,1,0,0,0,0,1,0,0,NULL,'Abone Yönetimi','invoice',79,4530,NULL,'2010-11-25 15:53:42.823',1898,'192.168.18.34',NULL,NULL,'HTTP',52,'Deployment',4,'2013-10-28 08:24:41.787',89,'10.0.0.13','v 12','normal'
'Abonelik',1,'SUBO','controller/ListSubscriptionContract.cfm',NULL,NULL,30003,'list_subscription_contract.cfm','sales/display/list_subscription_contract.cfm','display','Subscription','sales.list_subscription_contract','list_subscription_contract',NULL,'Aboneler',1,0,0,1,0,0,0,0,0,0,NULL,NULL,'Abone Yönetimi','sales',79,13119,NULL,'2010-11-25 15:53:42.823',1898,'192.168.18.34',NULL,NULL,'HTTP',52,'Deployment',4,'2012-07-09 13:07:45.493',89,'192.168.6.14','v 12','normal'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_account.cfm','account/query/add_account.cfm','query',NULL,'account.add_account','add_account',NULL,'Query Hesap Kodu Ekle',1,1,0,NULL,0,1,0,0,0,0,NULL,'defin_left_menu','Account','account',22,133,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:31:57.35',15,'192.168.18.66','v 12','normal'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_balance_sheet_def.cfm','account/query/add_balance_sheet_def.cfm','query',NULL,'account.add_balance_sheet_def','add_balance_sheet_def',NULL,'Query Bilanço Tanmları',1,1,0,NULL,0,1,1,0,0,0,NULL,'defin_left_menu','Account','account',22,66,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 13:15:52.547',15,'192.168.18.66','v 12','normal'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_bill_no.cfm','account/query/add_bill_no.cfm','query',NULL,'account.add_bill_no','add_bill_no',NULL,'Fiş Numaraları Query ',1,1,0,NULL,0,1,1,0,0,0,0,'defin_left_menu','Account','account',22,93,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-09-17 09:40:20.083',20,'192.168.18.92','v 12','normal'
NULL,1,'ERP',NULL,NULL,NULL,NULL,'add_cost_table_def.cfm','account/query/add_cost_table_def.cfm','query',NULL,'account.add_cost_table_def','add_cost_table_def',NULL,'Query Satışların Maliyeti Tablosu Tanımları',1,1,0,NULL,0,1,1,0,0,0,NULL,'defin_left_menu','Account','account',22,19,NULL,NULL,NULL,NULL,NULL,NULL,'HTTP',52,'Deployment',2,'2012-08-15 12:12:30.823',15,'192.168.18.66','v 12','normal'
